package	source	bytes	note
@alcalzone/ansi-tokenize@0.3.0	ok:npmmirror	11653	
@assistant-ui/react-streamdown@0.3.5	ok:npmmirror	44610	
@assistant-ui/tap@0.9.8	ok:npmmirror	105008	
@babel/code-frame@8.0.0	cached	8984	
@babel/code-frame@8.0.0	ok:npmmirror	8984	
@babel/compat-data@8.0.0	cached	3843	
@babel/compat-data@8.0.0	ok:npmmirror	3843	
@babel/core@8.0.1	cached	124835	
@babel/core@8.0.1	ok:npmmirror	124835	
@babel/generator@8.0.0	cached	85629	
@babel/generator@8.0.0	ok:npmmirror	85629	
@babel/helper-compilation-targets@8.0.0	cached	12145	
@babel/helper-compilation-targets@8.0.0	ok:npmmirror	12145	
@babel/helper-globals@8.0.0	cached	6942	
@babel/helper-globals@8.0.0	ok:npmmirror	6942	
@babel/helper-string-parser@8.0.0	cached	7825	
@babel/helper-string-parser@8.0.0	ok:npmmirror	7825	
@babel/helper-validator-identifier@8.0.4	cached	14896	
@babel/helper-validator-identifier@8.0.4	ok:npmmirror	14896	
@babel/helper-validator-option@8.0.0	cached	3943	
@babel/helper-validator-option@8.0.0	ok:npmmirror	3943	
@babel/helpers@8.0.0	cached	35083	
@babel/helpers@8.0.0	ok:npmmirror	35083	
@babel/parser@8.0.4	cached	377251	
@babel/parser@8.0.4	ok:npmmirror	377251	
@babel/template@8.0.0	cached	15345	
@babel/template@8.0.0	ok:npmmirror	15345	
@babel/traverse@8.0.4	cached	166815	
@babel/traverse@8.0.4	ok:npmmirror	166815	
@babel/types@8.0.4	cached	227353	
@babel/types@8.0.4	ok:npmmirror	227353	
@codemirror/lang-markdown@6.5.1	ok:npmmirror	13150	
@codemirror/state@6.7.1	ok:npmmirror	107885	
@codemirror/view@6.43.6	ok:npmmirror	311629	
@csstools/css-syntax-patches-for-csstree@1.1.6	ok:npmmirror	19277	
@emnapi/core@2.0.0-alpha.3	ok:npmmirror	101910	
@emnapi/runtime@2.0.0-alpha.3	ok:npmmirror	53441	
@emnapi/wasi-threads@2.0.1	ok:npmmirror	10932	
@esbuild/aix-ppc64@0.28.1	ok:npmmirror	4591089	
@esbuild/android-arm64@0.28.1	ok:npmmirror	4479873	
@esbuild/android-arm@0.28.1	ok:npmmirror	3750373	
@esbuild/android-x64@0.28.1	ok:npmmirror	3750376	
@esbuild/darwin-arm64@0.28.1	ok:npmmirror	4417651	
@esbuild/darwin-x64@0.28.1	ok:npmmirror	4792951	
@esbuild/freebsd-arm64@0.28.1	ok:npmmirror	4250474	
@esbuild/freebsd-x64@0.28.1	ok:npmmirror	4705559	
@esbuild/linux-arm64@0.28.1	ok:npmmirror	4275227	
@esbuild/linux-arm@0.28.1	ok:npmmirror	4486671	
@esbuild/linux-ia32@0.28.1	ok:npmmirror	4469396	
@esbuild/linux-loong64@0.28.1	ok:npmmirror	4537082	
@esbuild/linux-mips64el@0.28.1	ok:npmmirror	4087041	
@esbuild/linux-ppc64@0.28.1	ok:npmmirror	4311182	
@esbuild/linux-riscv64@0.28.1	ok:npmmirror	4443193	
@esbuild/linux-s390x@0.28.1	ok:npmmirror	4554280	
@esbuild/linux-x64@0.28.1	ok:npmmirror	4728498	
@esbuild/netbsd-arm64@0.28.1	ok:npmmirror	4236831	
@esbuild/netbsd-x64@0.28.1	ok:npmmirror	4689812	
